cost_to_turnover,admin_cost_ratio,employment_cost_ratio,finance_cost_ratio,deductions_to_turnover,high_cost_flag,thin_margin_flag,turnover_bin_q,sector,is_loss
0.0,0.0,0.0,0.07181714357901063,0.0,0,0,Q1,TRANSPORTATION AND STORAGE,0
0.8881284508136937,0.008036569606336674,0.0,0.0,0.008036569606336674,0,0,Q2,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1
0.0,0.3725609131943005,0.34602907852618936,0.044638574661614784,0.006986352302311034,0,0,Q4,FINANCIAL AND INSURANCE ACTIVITIES,0
0.8378699543125576,0.008610883720008325,0.0,0.010787310585413714,0.008610885702109947,0,0,Q4,INFORMATION AND COMMUNICATION,1
0.8610724732437219,0.0,0.0,0.002197703582897837,0.0,0,0,Q2,CONSTRUCTION,0
0.5457971779972423,0.024537384344493835,0.0,0.0,0.0,0,0,Q4,CONSTRUCTION,0
0.8624570833333334,0.005208333333333333,0.0,0.0010908333333333334,0.0,0,0,Q4,HUMAN HEALTH AND SOCIAL WORK ACTIVITIES,0
0.7406103197882656,0.0,0.0,0.03184686960390291,0.2528906114508479,0,0,Q1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1
0.0,2.291575731121781,1.361,0.0,0.0,0,0,Q1,SERVICE ACTIVITIES,1
0.0,0.0,0.0,0.0,0.0,0,0,Q1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1
0.8884351867292118,0.00035245286243771565,0.0,0.0,0.00035244746334362197,0,0,Q4,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.914229444113816,0.08336335659176394,0.08336335659176394,0.09644035568666288,0.04636020104328697,1,0,Q4,CONSTRUCTION,1
0.6310693487631059,0.0,0.0,0.0,0.0010957702176136006,0,0,Q2,CONSTRUCTION,0
0.3405376779010398,0.0,0.0,0.0,0.0,0,0,Q2,CONSTRUCTION,0
0.0,0.042931095528949366,0.03136333321399183,0.6469206176665893,0.009639701405627392,0,0,Q2,SERVICE ACTIVITIES,0
2.3208617847669575,0.0,0.0,0.0,0.0,1,0,Q1,INFORMATION AND COMMUNICATION,1
0.0,0.4149852920147897,0.3992911568238923,0.008570465548587421,0.012698404592159826,0,0,Q2,FINANCIAL AND INSURANCE ACTIVITIES,0
0.0,0.08131536040432123,0.0,0.0,0.07089239325395465,0,0,Q4,EDUCATION,0
0.8864718656716913,0.008464521673769635,0.006475644791574849,0.0028149722790218237,0.001988878068210315,0,0,Q4,"ELECTRICITY, OIL, GAS, STEAM AND AIR CONDITIONING SUPPLY",0
0.7125214388724859,0.14161287045082668,0.03111764197424151,0.005559245594321182,0.11092970779442339,0,0,Q3,CONSTRUCTION,0
0.9096894664876232,0.0022302710827490106,0.0,0.0,0.00218157344846837,1,0,Q4,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.0,0.03648217505895408,0.0,0.16039026997103595,0.0373453178406664,0,0,Q2,REAL ESTATE ACTIVITIES,0
0.4687511509336638,0.22951100279210426,0.1807337131500081,0.03537566097788022,0.03446617954261623,0,0,Q4,MANUFACTURING,0
0.6296765213219382,0.28619516015067703,0.28295878193936935,0.02795570368326568,0.004292355923479514,0,0,Q4,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.5031007952388951,0.04445531459210878,0.0,0.001100861773682587,0.0,0,0,Q3,DIGITAL ECONOMY SECTION,0
0.0,0.0,0.0,0.0,0.0,0,0,Q1,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
1.4549219070822434,0.004944828302148531,0.0,0.0008672397430985998,0.0,1,0,Q2,CONSTRUCTION,1
0.6157017590968389,0.13581075762850725,0.10555329254814637,0.03880185541037339,0.013838291663857579,0,0,Q4,MANUFACTURING,0
0.20589971727922834,0.9300631964077831,0.0,0.0028014302344919343,0.8687276733743556,0,0,Q2,"WATER SUPPLY , WASTE MANAGEMENT, SEWERAGE AND REMEDIATION ACTIVITIES",1
0.811144985864734,0.0,0.0,0.0021869527216525427,0.0,0,0,Q3,SERVICE ACTIVITIES,0
0.0,0.3050175831202046,0.0,0.0047218670076726345,0.12935266624040923,0,0,Q2,REAL ESTATE ACTIVITIES,1
0.0,1.0918891558447625,1.0667425070468708,0.08536374082463037,0.029479419060989085,0,0,Q3,"ARTS, ENTERTAINMENT AND RECREATION",0
0.5996774429548897,0.016181494205171926,0.016181494205171926,0.4054984386078416,0.0,0,0,Q3,MANUFACTURING,1
0.11582512536089384,0.0,0.0,0.0704358520318448,0.0,0,0,Q3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0
0.3298061701096666,0.033528227826197826,0.02237549567611211,0.0392580819505277,0.011152653639574574,0,0,Q3,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0
0.7344186779742715,0.237093630408491,0.237093630408491,0.0,0.0,0,0,Q1,"ACTIVITIES OF HOUSEHOLDS AS EMPLOYERS, UNDIFFERENTIATED GOODS- AND SERVICES-PRODUCING ACTIVITIES OF HOUSEHOLDS FOR OWN USE",0
0.5871126104861999,0.40114756579156,0.296488794270276,0.04489511141100622,0.0,0,0,Q3,REAL ESTATE ACTIVITIES,1
0.0,0.0,0.0,0.0,0.0,0,0,Q1,CONSTRUCTION,0
0.0,0.0,0.0,0.0415,0.0,0,0,Q2,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0
0.9550443834545178,0.02403233028667338,0.016195226929444577,0.0031556409996848674,0.00783710483220393,1,1,Q4,CONSTRUCTION,0
0.0,0.0007764468466803249,0.0,0.0029223160977739325,0.0013188803964803914,0,0,Q3,REAL ESTATE ACTIVITIES,0
0.0,0.0003488001541944494,0.0,0.0,0.0003644301587822202,0,0,Q3,REAL ESTATE ACTIVITIES,0
0.0,0.00030375,0.0,0.011517666666666667,0.000375,0,0,Q3,REAL ESTATE ACTIVITIES,0
0.0,0.0,0.0,0.0,0.0,0,0,Q1,REAL ESTATE ACTIVITIES,0
0.0,0.0,0.0,0.0,0.0,0,0,Q1,"AGRICULTURE, FORESTRY AND FISHING",1
0.5,0.4754772603000261,0.4754772603000261,0.0,0.0,0,0,Q1,"ARTS, ENTERTAINMENT AND RECREATION",1
0.9025835412850498,0.0,0.0,0.0,0.0,1,0,Q3,CONSTRUCTION,0
0.0,0.0,0.0,0.0,0.0,0,0,Q1,"WATER SUPPLY , WASTE MANAGEMENT, SEWERAGE AND REMEDIATION ACTIVITIES",1
0.01049312615909722,0.13999808729107796,0.13999808729107796,0.008414746548637372,0.01049312615909722,0,0,Q4,"AGRICULTURE, FORESTRY AND FISHING",1
0.17850048435278465,0.0,0.0,0.05905722801435645,0.12094376379588319,0,0,Q3,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0
0.5951919527536986,0.14759310800995754,0.14759310800995754,0.06252488972614287,0.0,0,0,Q4,CONSTRUCTION,1
0.007359444093493367,0.23703095388502843,0.03735691724573594,0.04754674668351232,0.09972150979153506,0,0,Q2,REAL ESTATE ACTIVITIES,0
0.0,0.313104347826087,0.0,0.0016079710144927537,0.0,0,0,Q2,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0
0.0,0.07568282643299067,0.0,0.013311913136135008,0.07568282643299067,0,0,Q2,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1
0.9748340567742293,0.004376704417876674,0.004363354454628097,0.00036314734680772726,1.334996324857682e-05,1,1,Q4,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.004991408206319821,0.013597682001457794,0.0,0.0008122839823064642,0.0,0,0,Q3,CONSTRUCTION,0
2.975,0.0,0.0,0.1907418659890626,0.0,1,0,Q1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",1
0.9494760445501648,0.10105479459670647,0.10092953761777326,0.022224353488874252,0.00011386380266052347,1,0,Q4,MANUFACTURING,1
0.0,0.0,0.0,0.0,0.0,0,0,Q1,"ELECTRICITY, OIL, GAS, STEAM AND AIR CONDITIONING SUPPLY",0
0.0,0.0,0.0,0.0,0.0,0,0,Q1,FINANCIAL AND INSURANCE ACTIVITIES,1
0.0,0.0,0.0,0.0,0.0,0,0,Q1,"ELECTRICITY, OIL, GAS, STEAM AND AIR CONDITIONING SUPPLY",0
0.7392322206396725,0.019389467237235176,0.01722551225962037,0.0031587283106078853,0.0021639390280664204,0,0,Q3,"M - PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0
0.0,0.013278413312098392,0.012926338160857842,0.0,0.0,0,0,Q4,ADMINISTRATIVE AND SUPPORT SERVICE ACTIVITIES,0
0.8169144425011878,0.016783240834034985,0.0,0.0,0.0,0,0,Q3,REAL ESTATE ACTIVITIES,1
0.6589078111762197,0.15592923346593437,0.09530653698955106,0.023930492776953947,0.06062270099328081,0,0,Q4,TRANSPORTATION AND STORAGE,0
0.9711495114002324,0.002238729946501834,0.0,0.0018041046038692605,0.0017909745449728675,1,1,Q4,"WHOLESALE AND RETAIL TRADE, REPAIR OF MOTOR VEHICLES AND MOTORCYCLES",0
0.7129459813711191,0.12910185583833014,0.12102004059883546,0.0045886611621978645,0.010590217479407572,0,0,Q4,"ARTS, ENTERTAINMENT AND RECREATION",0
0.8684490773324914,0.026616184590842713,0.006233966601195025,0.12411263300396873,0.020382223383185523,0,0,Q4,Other,1
0.0,0.0,0.0,0.0,0.0,0,0,Q1,"PROFESSIONAL, SCIENTIFIC AND TECHNICAL ACTIVITIES",0
